City,2021-03-26 10:06 UTC,2021-03-26 10:24 UTC,2021-03-26 10:28 UTC,2021-03-26 10:47 UTC,2021-03-26 12:26 UTC,2021-03-26 12:37 UTC,2021-03-26 12:48 UTC,2021-03-26 12:59 UTC,2021-03-26 13:10 UTC,2021-03-26 13:21 UTC,2021-03-26 13:32 UTC,2021-03-26 13:43 UTC,2021-03-26 13:54 UTC,2021-03-26 14:05 UTC,2021-03-26 14:16 UTC,2021-03-26 14:27 UTC,2021-03-26 14:38 UTC,2021-03-26 14:49 UTC,2021-03-26 15:01 UTC,2021-03-26 15:12 UTC,2021-03-26 15:23 UTC,2021-03-26 15:34 UTC,2021-03-26 15:45 UTC,2021-03-26 15:56 UTC,2021-03-26 16:07 UTC,2021-03-26 16:18 UTC,2021-03-26 16:29 UTC,2021-03-26 16:40 UTC,2021-03-26 16:51 UTC,2021-03-26 17:02 UTC,2021-03-26 17:13 UTC,2021-03-26 17:24 UTC,2021-03-26 17:35 UTC,2021-03-26 17:46 UTC,2021-03-26 17:57 UTC,2021-03-26 18:08 UTC,2021-03-26 18:19 UTC,2021-03-26 18:30 UTC,2021-03-26 18:41 UTC,2021-03-26 18:52 UTC,2021-03-26 19:03 UTC,2021-03-26 19:14 UTC
Dallas,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Decatur,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Denison,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Denton,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dickinson,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Donna,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Duncanville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False
Edinburg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
El Paso,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Elgin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
